Team;Country;Link GitHub;;
;
Red Machine;Venezuela;https://github.com/RoboticaLLR/redmachine2024
Sonicar;Venezuela;https://github.com/Josechg07/Proyecto-Carro-
Team RoboCRV;Venezuela;https://github.com/ROBOTEAMCRV/roboteamCRV
Adagroup;Venezuela;https://github.com/JD277/Adagroup-WRO2024.git
Kinisi;Venezuela;https://github.com/Kinisi2024/kinisi-
ELEKTRO;Venezuela;https://github.com/IAst22/Diario-de-ingenieria-Elektro
Team Violet I;Venezuela;https://github.com/reiruso07/WRO2024_Future_Engineers--Team-Violet
CJL;Venezuela;https://github.com/megasinser/CJL
Team Stormbreaker;Venezuela;https://github.com/TeamStormbreaker0906/proyectoWROGit
Team Spark;Venezuela;https://github.com/KarenWon9/WRO-FI-Team-Spark.git
Electro Tech;Venezuela;https://github.com/apguilar/ElectroTech-WRO-2024.git
SCP079;Venezuela;https://github.com/Botkill27/scp-079
MK;Venezuela;https://github.com/elkinnm/Mk
AFTON TEAM;Venezuela;https://github.com/danielvvhfk/WRO2024-AFTON-SMARTWHEELS.git
BlackJack;Venezuela;https://github.com/wallabiesvzla/Blackjackwrovzla.git
TNT;Venezuela;https://github.com/TNT-JEFFERSON/TERRENEITOR
